original_output_file,survey_file_name,template,min.score,max.score,n.scores
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_054500.wav","F1,025,-21,T",-1.98,0.18,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_054500.wav","F2,000,-21,T",-2.34,-0.14,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_054500.wav","F2,087,-21,T",-2.12,-0.12,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_054500.wav","F3,000,-20,T",-2.26,0.03,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_054500.wav","F4,000,-25,T",-1.85,0.75,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_054500.wav","F4,030,-24,T",-1.64,0.86,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_054500.wav","F5,065,-21,T",-2.54,0.06,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_054500.wav","F8,025,-24,T",-1.97,-0.19,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_054500.wav","F8,036,-24,T",-1.99,-0.06,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_054500.wav","F6,015,-32,H",1.37,4.28,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_054500.wav","F7,017,-26,H",0.61,3.66,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_060000.wav","F1,025,-21,T",-4.43,2.03,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_060000.wav","F2,000,-21,T",-3.51,0.23,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_060000.wav","F2,087,-21,T",-3.47,0.44,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_060000.wav","F3,000,-20,T",-3.4,0.58,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_060000.wav","F4,000,-25,T",-2.76,2.59,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_060000.wav","F4,030,-24,T",-2.47,2.23,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_060000.wav","F5,065,-21,T",-4.44,1,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_060000.wav","F8,025,-24,T",-4.08,0.53,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_060000.wav","F8,036,-24,T",-3.01,0.29,18439
data/output1.txt,"AutomatedDetection_TestingTemplates/4,200/15 feb 2013/HARPIA_20130215_060000.wav","F6,015,-32,H",1.43,6.28,18439
